CodigoDaComposicao;IDdoComponente;DescricaoDoComponente;CodigoDoComponente;QuantidadeDoComponente;CustoUnitario;Operacao
PARFTK1004/05;15995807349;Pivô Inferior Bandeja Dianteira Direito Parati 1983 À 1992;FTK11004;1;0;A
PARFTK1004/05;15996163219;Pivô Inferior Bandeja Dianteira Esquerdo Voyage 1981 À 1992;FTK11005;1;0;A
PARFTK11058;15996354518;Pivô Inferior Bandeja Dianteira Idea Ambos Lados 2010 À 2018;FTK11058;2;0;A
PAR-FTK11058;15996354518;Pivô Inferior Bandeja Dianteira Idea Ambos Lados 2010 À 2018;FTK11058;2;0;A
PAR-FTK0333;16319452453;Pivô Inferior Classe A 190 Elegance 1999 A 2006;FTK0333;2;0;A
PAR-FTK1024;16335080911;PIVÔ INFERIOR CORSA 1994 A 1998;FTK1024;2;0;A
PARFTK22182;15996174785;Pivô Inferior Da Bandeja Ambos Lados Renault R11 1983 A 1997;FTK22182;2;0;A
PAR-FTK33395;15995604262;Pivô Inferior Dianteira Ambos Lados Ford Ka 2008 A 2014;FTK33395;2;0;A
PARFTK33395;15995604262;Pivô Inferior Dianteira Ambos Lados Ford Ka 2008 A 2014;FTK33395;2;0;A
PAR-FTK22182;15996174785;Pivô Inferior Da Bandeja Ambos Lados Renault R11 1983 A 1997;FTK22182;2;0;A
PAR-FTK11010;16335164505;PIVÔ INFERIOR GOL 1997 A 2008;FTK11010;2;0;A
PAR-FTK11008/09;16332566936;PIVÔ INFERIOR DIREITO GOL 1997 A 2008 DIREÇÃO HIDRAULICA;FTK11008;1;0;A
PAR-FTK11008/09;16332622655;PIVÔ INFERIOR ESQUERDO GOL 1997 A 2008 DIREÇÃO HIDRAULICA;FTK11009;1;0;A
FTK77368/69;16257408014;PIVÔ INFERIOR JETTA LADO DIREITO;FTK77368;1;0;A
FTK77368/69;16257408158;PIVÔ INFERIOR JETTA LADO ESQUERDA;FTK77369;1;0;A
PAR-FTK11051;16274482372;PIVÔ INFERIOR MERIVA 1.4 1.8 2003 A 2012;FTK11051;2;0;A
PAR-FTK44634;16337724394;PIVÔ INFERIOR PARA BANDEJA DE FERRO FUNDIDO PALIO 1999 2000;FTK44634;2;0;A
PAR-FTK11038;16237881319;Pivô Inferior AMBOS LADOS PALIO 1996 Até 1999;FTK11038;2;0;A
PAR-PVI1032;15990829480;Pivô Inferior Ambos Lados Grand Siena 2012 A 2021;FTK11032;2;0;A
PAR-FTK11032;15990829480;Pivô Inferior Ambos Lados Grand Siena 2012 A 2021;FTK11032;2;0;A
PAR-FTK33305;15961081747;Pivô Nissan March 2011 Em Diante;FTK33305;2;0;A
par772102-p;15961081747;Pivô Nissan March 2011 Em Diante;FTK33305;2;0;A
PAR-PVI772102;15961081747;Pivô Nissan March 2011 Em Diante;FTK33305;2;0;A
PARFTK-11020S;16257149644;PIVÔ SUPERIOR CORCEL DEL REY PAMPA SCALA BELINA;FTK-11020S;2;0;A
PAR-FTK00206;16293619392;PIVÔ SUPERIOR FUSION 2006 A 2012;FTK00206;2;0;A
FTK00311/5233;15884291448;Bieleta Dianteira Onix Modelo Novo 2020;5233;2;19,25;A
FTK00311/5233;16008825466;Pivô Bandeja Cobalt 2011 Em Diante;FTK00311;2;0;A
FTK-00311-5233;16008825466;Pivô Bandeja Cobalt 2011 Em Diante;FTK00311;2;0;A
FTK-00311-5233;15884291448;Bieleta Dianteira Onix Modelo Novo 2020;5233;2;19,25;A
FTK00311-5233;16008825466;Pivô Bandeja Cobalt 2011 Em Diante;FTK00311;1;0;A
FTK00311-5233;15884291448;Bieleta Dianteira Onix Modelo Novo 2020;5233;1;19,25;A
PAR-13121;15921673494;Reparo Pino Guia Pinça De Freio Del Rey 1986 Até1991;13121;2;20;A
Par-27020;15880341084;Reparo Pino Guia Pinça De Freio Dianteiro Corolla 2003 a 2008;27020;2;20;A
Par-28006;15827505980;Reparo Pino Guia Pinça De Freio Dianteiro Nissan Versa;28006;2;19;A
Par-PF005;15823840970;Reparo Traseiro Rolamento Blindado Marea 1997 Em Diante;PF005;2;20;A
Par-NZT311396;15907922738;Rolamento Da Roda Dianteira Sem Abs Fiesta;NZT311396;2;37,49;A
par-nzt311315;15915002352;Rolamento Da Roda Dianteira Sem Abs Passat Gol Até 1994;nzt311315;2;32,26;A
PAR-FTK18098;16293617707;ROLAMENTO RODA DIANTEIRA ACCORD 2.0 16V 02 2003 A 2011;FTK18098;2;0;A
PAR-NZT0186;16319445239;PAR ROLAMENTO RODA DIANTEIRA AIRCROSS 1.6 2010 EM DIANTE;NZT0186;2;0;A
PAR-FTK18088;16274483267;ROLAMENTO RODA DIANTEIRA ALFA ROMEO 145 ATÉ 1999;FTK18088;2;0;A
PAR-FTK18627;16237886988;Rolamento da Roda Dianteiro VW AMAROK 2011 Em Diante;FTK18627;2;0;A
PAR-FTK10212;16257207122;ROLAMENTO RODA DIANTEIRA AUDI S3 2001 A 2003;FTK10212;2;0;A
PAR-FTK18072;16274482895;ROLAMENTO RODA DIANTEIRA C3 1.4 16V 1.6 16V 02 2002 15;FTK18072;2;0;A
PAR-FTK050N;16389461895;ROLAMENTO RODA DIANTEIRA CHEVETTE 1.6 1973 A 1993;FTK050N;2;0;A
PAR-FTK18193;16389282734;ROLAMENTO RODA DIANTEIRA DAIHATSU CHARADE 1994;FTK18193;2;0;A
PAR-NZT311015;16352315119;ROLAMENTO RODA DIANTEIRA ARGO;NZT311015;2;0;A
PAR-FTK18012;16389457010;ROLAMENTO RODA DIANTEIRA JUMPY 1.6 2017 A 2021;FTK18012;2;0;A
PAR-FTK14272;16257207463;ROLAMENTO RODA DIANTEIRA SUBARU FORESTER 2.0 2.5 1997 A 2008;FTK14272;2;0;A
PAR-FTK18168;16240471264;Rolamento Roda Dianteira Tracker 2001 Até 2009;FTK18168;2;0;A
PAR-NZT636096;16257406616;ROLAMENTO RODA DIANTEIRA VECTRA SEM ABS 1997 EM DIANTE;NZT636096;2;0;A
Par-FTK18169;16237882799;Rolamento da Roda Dianteiro JAC MOTORS J2 2012 Até 2017;FTK18169;2;0;A
PAR-FTK18630;16389409540;ROLAMENTO RODA TRASEIRA AMAROK 2010 A 2019 2.0 3.0;FTK18630;2;0;A
PAR-FTK18273;16237919385;Rolamento da Roda Traseira BMW SÉRIE 1 116 118 2012 EM DIANTE 1.6;FTK18273;2;0;A
PAR-FTK12223;16319450824;ROLAMENTO RODA TRASEIRA CITROEN AX 1.4 8V 1992 A 1998;FTK12223;2;0;A
Par-FTK18096;16237879691;Rolamento da Roda Traseira CRV 2.4 16v 2002 até 2004;FTK18096;2;0;A
PAR-NZT1206;16257405657;ROLAMENTO RODA TRASEIRA FUSION COM ABS;NZT1206;2;0;A
PAR-FTK18505;16240468968;Rolamento Roda Traseira Grand Cherokee 2011 Em diante;FTK18505;2;0;A
PAR-442146/47;16237921620;Suporte Bandeja Direita FOX 2004 Até 2014;442146;1;0;A
PAR-442146/47;16237921815;Suporte Bandeja Esquerda FOX 2004 Até 2014;442147;1;0;A
PAR-3025;15925730983;Suporte Do Para Choque Fusca;3025;2;0;A
T1005/06;15833619132;Terminal Cabo Trambulador Engate 13mm Uno 2014 Em Diante;T1005;1;0;A
T1005/06;15833618379;Terminal Cabo Trambulador Seleção 10mm Strada 2014 Em Diante;T1006;1;0;A
PAR-T112006;15993931449;Terminal da Direção Do braço Tensor Uno;T112006;2;0;A
par-13125;15845932444;Pino Guia De Pinça De Freio Hyundai I30 HB20 IX35 Veloster;13125;2;20;A
PVI112050/5113;15833627935;Bieleta Dianteira Fiat Mobi 2017 Em Diante 51868333;5113;1;17,57;A
PVI112050/5113;15990829480;Pivô Inferior Ambos Lados Grand Siena 2012 A 2021;FTK11032;1;0;A
PG002;15831140075;Reparo Rolamento Eixo Traseiro Pegeout 206 47mm 1999 a 2010;PG001;1;43;A
NZT-0012;15882164646;Rolamento Da Roda Dianteira Sem Abs;NZT0012;1;0;A
NZT41999;16293617707;ROLAMENTO RODA DIANTEIRA ACCORD 2.0 16V 02 2003 A 2011;FTK18098;2;0;A
PAR-NZT0055AA;16137295771;ROLAMENTO RODA DIANTEIRA PALIO PUNTO BRAVO;NZT0055AA;2;0;A
NZT6916A;16293617707;ROLAMENTO RODA DIANTEIRA ACCORD 2.0 16V 02 2003 A 2011;FTK18098;2;0;A
KIT-FD001;15823818007;Kit Rolamento Roda Traseira Ford Ka 1997 1998 1999 2000-2002;FD001;2;40;A
KIT-FD001;15907922738;Rolamento Da Roda Dianteira Sem Abs Fiesta;NZT311396;2;37,49;A
KIT-VW001;15823841530;Kit Rolamento Roda Traseira Gol Saveiro  PARATI G1 a G5 Fox;VW001;2;13,22;A
KIT-VW001;15907922738;Rolamento Da Roda Dianteira Sem Abs Fiesta;NZT311396;2;37,49;A
Kit-2357/8;15823849698;Suporte Coxin Radiador Esquerdo Corsa Frente Montana 2002/12;2357;1;41;A
Kit-2357/8;15823850473;Suporte Coxin Radiador Direito Montana Antiga 2002 A 2012;2358;1;22,5;A
PARFTK11203/04-MB;16035004445;SUPORTE DIANTEIRO DA BANDEJA DIANTEIRA MERIVA 2002 A 2014;FTK11203-MB;1;0;A
PARFTK11203/04-MB;16034919118;BUCHA TRASEIRA DA BANDEJA DIANTEIRA MERIVA 2002 A 2013;FTK11204-MB;1;0;A
2367-Par;15843240677;Suporte Radiador Vectra Cd 2.0 97 A 98 Ld/le;2367;1;29,9;A
2367-Par;15843184289;Suporte do Radiador Vectra 1999 A 2000;2367-E;1;29,9;A
Par-2367;15843240677;Suporte Radiador Vectra Cd 2.0 97 A 98 Ld/le;2367;2;29,9;A
2362-DE;15845779494;Suporte Sup. Radiador Celta 2005 Le/ld;2362;1;36,9;A
2353-A;15851907264;Suporte Traseiro Do Motor Câmbio Manual Astra 2005;2353;1;38;A
