SKU;SEGUIMENTO;Categoria;TIPO;Fornecedor;Descrição / Aplicação;"Código Do 
Fornecedor";" CMV 
Unitário ";"Altura
(cm)";"Comprimento
(cm)";"Largura
(cm)";Peso
PAR442090-5307;AUTOMOTIVO;Bandeja e Bieleta;KIT;SPARE / HOLYMAN;Par Bandeja Sem Pivô Com Bieleta Crossfox 2014 A 2016;;  ;;;;
par442092-5307;AUTOMOTIVO;Bandeja e Bieleta;KIT;SPARE / HOLYMAN;Par Bandeja Com Pivô E Bieleta Fox 2014;; R$ 91,30 ;;;;
PAR442095;AUTOMOTIVO;Bandeja;KIT;SPARE;Par Bandeja Inferior Fox Sem Pivô 2004 Á 2013;;  ;;;;
PAR442104/05;AUTOMOTIVO;Bandeja;KIT;SPARE;Par Bandeja Inferior Sem Pivô Passat Cc 2009 2010;;  ;;;;
PAR442104/5;AUTOMOTIVO;Bandeja;KIT;SPARE;Par Bandeja Inferior Com Pivô Tiguan 2010 A 2017;; R$ 364,96 ;;;;
PAR442104/5P;AUTOMOTIVO;Bandeja;KIT;SPARE;Par Bandeja Inferior Com Pivô Passat 2012 A 2015;;  ;;;;
PAR442120/21;AUTOMOTIVO;Bandeja;KIT;SPARE;Par Bandeja Superior Amarok 2010 Á 2020;; R$ 154,38 ;;;;
PAR442122/23;AUTOMOTIVO;Bandeja;KIT;SPARE;Par Bandeja Inferior Jetta 2.0 2.5 2005 A 2010 Sem Pivô;;  ;;;;
PAR442122/23P;AUTOMOTIVO;Bandeja;KIT;SPARE;Par Bandeja Inferior Jetta 2.0 2.5 2005 A 2010 Com Pivô;;  ;;;;
PAR442144/45;AUTOMOTIVO;Bandeja;KIT;SPARE;Par Bandeja Inferior Sem Pivô Polo 2017 Em Diante;;  ;;;;
PAR-442146/47;AUTOMOTIVO;Bandeja;KIT;SPARE;Par Bandeja Dianteira Corolla 2002 Á 2019 Com Pivô;; R$ -   ;;;;
par-5000;AUTOMOTIVO;Bieleta;KIT;HOLYMAN;Par Bieleta Dianteira Focus 2000 A 2008;; R$ 31,00 ;;;;
par-5001;AUTOMOTIVO;Bieleta;KIT;HOLYMAN;Par Bieleta Dianteira Courier 1997 A 2013;; R$ 31,00 ;;;;
PAR-5009;AUTOMOTIVO;Bieleta;KIT;HOLYMAN;Par Bieleta Fiesta 2003 A 2014;; R$ 31,00 ;;;;
PAR5010;AUTOMOTIVO;Bieleta;KIT;HOLYMAN;Par Bieleta Dianteira Apollo 1990 A 1996;; R$ 32,40 ;;;;
PAR-5014;AUTOMOTIVO;Bieleta;KIT;HOLYMAN;Par Bieleta Dianteira Ranger 1999 A 2011;; R$ 33,00 ;;;;
PAR-5015;AUTOMOTIVO;Bieleta;KIT;HOLYMAN;Par Bieleta Traseira Ecosport 4x4 2004 Em Diante;; R$ -   ;;;;
